index,topic,prompt
917,Instagram,"Context: By the late 1960s Clinton h Question: Were there any notable singles from it? Answer: None. Question: Who were the members of Funkadelic and Parliament? Answer: Billy Bass Nelson (bass), Eddie Hazel (lead guitarist), Tawl Ross (guitarist), Tiki Fulwood (drums), and Mickey Atkins Question: When did they get together? Answer: the late 1960s Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Users can connect their Instagram account to other social media profiles, enabling them to share photos to those profiles as well. Conversation:  Apprentice: I really like to hang out on Instagram at night when I come home after work  Wizard: Me too! I love browsing all sorts of different hashtags! It's amazing how many different posts and photos I find!  Apprentice: Yes! I'm really surprised when I look at the clock and realize that I have been checking things out for 2 hours."
918,Green,"Context: In her Olympic debut at the 2002 Winter Olympics at age 17, Vonn raced in both slalom and combined in Salt Lake City, with her best result coming with sixth in combined. On March 4, 2003, she earned a silver medal in downhill in the Junior World Championship at Puy Saint-Vincent, France.  Vonn cre Question: Does the passage mention anything about why she has a strained relationship with her father? Answer: None. Question: What did she study in 2002? Answer: In her Olympic debut at the 2002 Winter Olympics at age 17, Vonn raced in both slalom and combined in Salt Lake City, Question: Did she get any medals in Salt Lake City? Answer: On March 4, 2003, she earned a silver medal in downhill in the Junior World Championship at Puy Saint-Vincent, France. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The culture of the United Kingdom is influenced by the UK's history as a developed island country, a liberal democracy and a major power; its predominantly Christian religious life; and its composition of four countries—England, Wales, Scotland and Northern Ireland—each of which has distinct customs, cultures and symbolism. Conversation:  Apprentice: I like green colour  Wizard: Oh my favorite shade is the mineral emerald, colored green due to chromium.  Apprentice: Interesting do you have any dress of the colour"
919,Bowling,"Context: White replaced original Oasis drummer Tony McCarroll in May 1995 and was immediately ""thrown in the deep end"", joining Question: Was the album a hit? Answer: None. Question: Are there any other interesting aspects about this article? Answer: Until the arrival of Andy Bell in the Autumn of 1999, White was the token southerner Question: How did he get his start Answer: White replaced original Oasis drummer Tony McCarroll in May 1995 and was immediately ""thrown in the deep end Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: A bowling ball is a piece of sporting equipment used to hit bowling pins in the sport of bowling. Conversation:  Apprentice: I love bowling, In fact I do it every week, How about you?   Wizard: I enjoy bowling, but I don't go all that often. My highest score is only a 220, which is far short of the maximum score of 300.   Apprentice: Thats not so bad, What kind of bowling ball do you use, any suggestions? "
920,Skiing,"Context: The film was critically acclaimed upon release. It was named ""Best Reviewed Film of 2005 in Limite Question: how mny copies were ssod Answer: None. Question: was the movie  a success Answer: where it achieved a 93% positive review rating, Question: when was it released Answer: 2005 Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Physiologically, it is largely aerobic in nature and requires stamina as well as mental strength. Conversation:  Wizard: It's amazing that people have been skiing for more than five millennia  Apprentice: Really? I had no idea, I figured it was a recent sport. Do you ever go skiing yourself?  Wizard: No I have not gone skiing  Apprentice: Oh ok, I haven't either, I'm kind of scared of heights. Do you play any sports?"
921,Bodybuilding supplement,"Context: Flav came to prominence as a founding member and hype man of the rap group Public Enemy. In 1984, the group Question: Did he win any awards? Answer: None. Question: Are there any other interesting aspects about this article? Answer: Flav came to prominence as a founding member and hype man of the rap group Public Enemy. Question: When did this occur? Answer: 1984, Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Under DSHEA, responsibility for determining the safety of the dietary supplements changed from government to the manufacturer and supplements no longer required approval from the U.S. Food and Drug Administration (FDA) before distributing product. Conversation:  Apprentice: I've been working out but I haven't used many supplements before.  Wizard: That is no problem, because athletes in ancient Greece used to consume a lot of meat and drink wine, and used that as body supplements!  Apprentice: Meat and wine as supplements? Sign me up."
922,Green,"Context: Obama was born on August 4, 1961, at Kapiol Question: did he have any siblings? Answer: None. Question: where was he born? Answer: Kapiolani Medical Center for Women and Children Question: when was he born? Answer: 1961, Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: It also has a long historical tradition as the color of Ireland and of Gaelic culture. Conversation:  Apprentice: Green is a beautiful color often seen in nature. Do you like the color green?  Wizard: The reaosn we associate green with money is because green was associated with bankers in the Middle Ages.  It was the color of the banker class.  Apprentice: I never heard that before. Why was green associated with the banker class?"
923,Online shopping,"Context: In 1506, Charles inherited his father's Burgundian territories, most notably the Low Countries and Franche-Comte. Most of the holdings were fiefs of the German Kingdom (part of the Holy Roman Empire), except his birthplace of Flanders, which was still a French fief, a last re Question: When did Charles V visit? Answer: None. Question: What is Burgundy and the Low Countries? Answer: In 1506, Charles inherited his father's Burgundian territories, most notably the Low Countries and Franche-Comte. Question: Which area of France is it located? Answer: Most of the holdings were fiefs of the German Kingdom (part of the Holy Roman Empire), except his birthplace of Flanders, which was still a French fief, Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Online stores typically enable shoppers to use ""search"" features to find specific models, brands or items. Conversation:  Apprentice: Online shopping is the better experience to choose the the product on our desire.  Wizard: Yes! I much prefer shopping online at home on the Internet rather than fighting crowds in an actual store.  Apprentice: what did you often purchase?"
924,Green,"Context: On Sunday, September 17, 2000, at halftime of the Dolphins-Baltimore Ravens game at Pro Player Stadium, Dan Marino's jersey number of 13 was retired. The only  Question: Did Marino win a super bowl game? Answer: None. Question: What team did Dan marino play on? Answer: Dolphins Question: How long did he play on the Dolphins? Answer: On Sunday, September 17, 2000, at halftime of the Dolphins-Baltimore Ravens game at Pro Player Stadium, Dan Marino's jersey number of 13 was retired. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Most emeralds are highly included, so their toughness (resistance to breakage) is classified as generally poor. Conversation:  Wizard: Green is my favorite color. It is the color in between blue and yellow. Do you like green?  Apprentice: mine too  Wizard: I love rocks that look greenish. Several have a green color such as emeralds. Do you like emeralds?  Apprentice: yes of course emeralds are really pretty."
925,Hot dog,"Context: Benson was born and raised in the Hill District in Pittsburgh, Pennsylvania. At the age of seven, he first played the ukulele in a corner drug store, for which he was paid a few dollars. At the age of eight, he played guitar in an unlicensed nightclub on Friday and Saturday nights, but the police soon closed the club down. At the age of 9, he started to record. Out of the four sides he cut, two were released: ""She Makes  Question: How did he influence him? Answer: None. Question: What gave him his start in his early career? Answer: At the age of eight, he played guitar in an unlicensed nightclub on Friday and Saturday nights, Question: Are there any other interesting aspects about this article? Answer: At the age of 9, he started to record. Out of the four sides he cut, two were released: "" Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: More than 50 billion chickens are raised annually as a source of food, for both their meat and their eggs. Conversation:  Wizard: Hog dogs are my favorite food. Well I am a big fan cooked sausage in a general term  Apprentice: yes I love a lot of chickens and eggs  Wizard: Then have you considered poultry farming. You can domesticated birds such as chickens yourself  Apprentice: yes I am an Agricultural Business student, I dont know how to start it up in United state"
926,Accounting,"Context: Cohan appeared in 1930 in a revival of his tribute to vaudeville and his father, The Song  Question: Was it successful? Answer: None. Question: What happened in his later career Answer: Cohan appeared in 1930 in a revival of his tribute to vaudeville and his father, The Song and Dance Man. Question: What was the song and dance man Answer: his father, Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Accounting can be divided into several fields including financial accounting, management accounting, external auditing, tax accounting and cost accounting. Conversation:  Wizard: I have been working at an Accounting firm. We process financial information for businesses and corporations.  Apprentice: that seems logical   Wizard: Luca Pacioli established the modern field of accounting way back in 1494. He was an Italian mathematician.   Apprentice: That is a long time ago!"
927,Skiing,"Context: As Hughes and Plath were legally married at the time of her death, Hughes in Question: What else did he publish? Answer: None. Question: What was the controversy? Answer: Hughes has been condemned repeatedly for burning Plath's last journal, saying he ""did not want her children to have to read it."" Question: Who was Hughes? Answer: As Hughes and Plath were legally married at the time of her death, Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Originally intended as an aid to travel over snow, they are now mainly used recreationally in the sport of skiing. Conversation:  Apprentice: Skiing is one of my favorite pasttimes. I wish I could do it more.  Wizard: It is a lot of fun and has been around a long time.  It goes back almost 5000 years!  Apprentice: I wonder what they used for skiis back then."
928,Hot dog,"Context: The self-titled independent EP was well-received and brought the band to the attention of Atlantic Records which signed them. Ratt immediately started writing and recording their first full-length album. Out of the Cellar was released in March 1984 and was praised by both fans and critics. Pearcy's  Question: Who was the producer? Answer: None. Question: What year did they release Out of the Cellar? Answer: 1984 Question: Was the album a success? Answer: was praised by both fans and critics. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Street food is ready-to-eat food or drink sold by a hawker, or vendor, in a street or other public place, such as at a market or fair. Conversation:  Apprentice: Hey! Do you like hot dogs? I feel like they're an American classic.  Wizard: I LOVE hot dogs with mayonnaise, chili, onions and cheese  Apprentice: Classic combo. I like mine with relish. Ever had one in New York? They sell them at nearly every street corner."
929,Kurt Cobain,"Context: Merman was married and divorced four times. Her first marriage, in 1940, was to theatrical agent William Smith. They were Question: Did she have any grandchildren? Answer: None. Question: Did Ethel Merman ever marry? Answer: Merman was married and divorced four times. Question: Who was her first husband? Answer: Her first marriage, in 1940, was to theatrical agent William Smith. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Grunge (sometimes referred to as the Seattle sound) is a subgenre of alternative rock and a subculture that emerged during the in the Pacific Northwest U.S. state of Washington, particularly in Seattle and nearby towns. Conversation:  Apprentice: Hey! How familiar are you with Kurt Cobain?  Wizard: Yeah, he was from Washington, where he formed the band Nirvana. Are you a fan?  Apprentice: I've heard a few of his songs but not a huge know it all about anything of his"
930,Green,"Context: Shen Kuo was born in Qiantang (modern-day Hangzhou) in the year 1031. His father Shen Zhou (Chen Zhou ; 978-1052) was a somewhat lower-class gentry figure serving in official posts on the provincial level; his mothe Question: did he marry? Answer: None. Question: when was shen born? Answer: in the year 1031. Question: what was his youth like? Answer: was a somewhat lower-class gentry figure serving in official posts on the provincial level; Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Photosynthesis is a process used by plants and other organisms to convert light energy into chemical energy that can later be released to fuel the organisms' activities (energy transformation). Conversation:  Apprentice: I like the color green as it is so present in nature. What is your favorite color?  Wizard: I like both blue and yellow because when you mix the two together, you get green!  Apprentice: I always find this interesting. What else can you tell me about the color green?"
931,Guns N' Roses,"Context: When her husband's gubernatorial term ended in January 1975, Rosalynn, Jimmy and Amy Carter returned to Plains. Jimmy had already announced his plans to run for President of the United States. Rosalynn returned to the campaign trail, this time on a national quest to gather support for her husband. She campaigned alone on his behalf in 41 states. Because o Question: was the president there? Answer: None. Question: what was this campaigning regarding? Answer: When her husband's gubernatorial term ended in January 1975, Rosalynn, Jimmy and Amy Carter returned to Plains. Jimmy had already announced his plans to run for President Question: where did she go whilst campaigning? Answer: She campaigned alone on his behalf in 41 states. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The band achieved commercial success in both Australia and the United States. Conversation:  Apprentice: Hi, My favorite artist is Guns N' Roses, do you have any thoughts on their music?  Wizard: They are a great hard rock band I heard some of their music.  Apprentice: Nice! I see you would categorize them as a hard rock band, are there any other genres that you think they can fit in?"
932,Ireland,"Context: Peter buys a TiVo. While wat Question: Why does Peter want a TiVo? Answer: None. Question: What does ""Bango"" refer to? Answer: Quagmire is going on a cross-country tour in which he plans to have sex with a different woman in every state of America, Question: Does Peter do something interesting? Answer: Peter buys a TiVo. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Situated in the North Atlantic, the islands have a total area of approximately 315,159 km, and a combined population of just under 70 million. Conversation:  Apprentice: Hey have you ever been to Ireland? My friend just got back funny enough.  Wizard: I haven't! I heard it was the third biggest island in all of Europe though.  Apprentice: Really? Is the UK and Scotland the other two?"
933,Auto racing,"Context: Seabiscuit was injured during a race. Woolf, who was riding him, said that he felt the horse stumble. The injur Question: Did he have more injuries? Answer: None. Question: What type of injury did Seabiscuit have? Answer: The diagnosis was a ruptured suspensory ligament in the front left leg. Question: When was this injury? Answer: Seabiscuit was injured during a race. Woolf, who was riding him, said that he felt the horse stumble. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The regulations governing the cars are unique to the championship. Conversation:  Apprentice: I love auto racing, do you like it?  Wizard: Auto racing is cool, racing auto motives and cars in Motorsports is awesome   Apprentice: What is the best kind of race car?"
934,Stock market,"Context: Orci and Kurtzman were asked to write the script for a new Star Trek film, but initially turned it down despite Orci being a fan of the series. Orci suggested rebooting the timeline as seen previously in the films and television series, and addin Question: Did he have any rewards or awards Answer: None. Question: Are there any other interesting aspects about this article? Answer: Orci and Kurtzman were asked to write the script for a new Star Trek film, but initially turned it down despite Orci being a fan of the series. Question: What else did Orci do? Answer: Orci suggested rebooting the timeline as seen previously in the films and television series, Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: no_passages_used Conversation:  Wizard: I'd like to invest in the stock market, but I'm worried I miht make a mistake and lose my money.  Apprentice: Yes! It is risky. What stocks are you thinking of investing it  Wizard: Well, I'd like to buy shares in companies I like, like Coca-Cola and Nintendo.  But I also want to make some money, so I'd maybe invest in Apple or Tesla.  Apprentice: Neat! I have always heard good things about Apple and Tesla. Amazon would have been great to get into 10 years ago!"
935,Bowling,"Context: Donny, and to a lesser extent, Marie and Jimmy, soon began to emerge as solo artists. Jimmy was becoming ""big in Japan"", and in 1972 had a #1 hit in the United Kingdom with ""Long Haired Lover from Liverpool"". Marie, th Question: Did Marie continue singing or released any other songs? Answer: None. Question: How did their solo carrers take off? Answer: Jimmy was becoming ""big in Japan"", Question: Why was he becoming big? Answer: "", and in 1972 had a #1 hit in the United Kingdom with ""Long Haired Lover from Liverpool"". Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The maximum score is 300, which is achieved by getting 12 strikes in a row. Conversation:  Apprentice: I'm dying to learn how to bowl! All of my friends love it and I'm feeling left out!  Wizard: well you have come to the right place! Bowling is a sport or leisure activity in which a player rolls or throws a bowling ball towards a target!  Apprentice: The target being pins I guess! That's the extent of my knowledge! Do I have to knock them all down on my first try?"
936,The Walking Dead (TV series),"Context: Lewis Hoad was born on 23 November 1934, in the working-class Sydney inner suburb of Glebe, the eldest of three sons of tramway electrician Alan Hoad and his wife Ailsa Lyle. Hoad started playing tennis at age five with a racket gifted by a local social club. As a youn Question: Did he win this tournament? Answer: None. Question: Where was he born? Answer: in the working-class Sydney inner suburb of Glebe, Question: What did he do as a child? Answer: Hoad started playing tennis at age five with a racket gifted by a local social club. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The Walking Dead (also known as The Walking Dead: The Game and The Walking Dead: Season One) is an episodic interactive drama graphic adventure survival horror video game developed and published by Telltale Games. Conversation:  Apprentice: I am a huge fan of the Walking Dead TV series. Do you follow it?   Wizard: Oh yeah, Andrew lincoln does a great job as the sheriff.  Apprentice: I agree! Do you think the show has diminished over time though? Not as great as the original series."
937,Nickelback,"Context: Born in Grand Island, Nebraska in May 1905, Henry Jaynes Fonda was the son of printer William Brace Fonda, and his wife, Herberta (Jaynes). The famil Question: what did his mother do? Answer: None. Question: who was his dad? Answer: William Brace Fonda, Question: who was his mother? Answer: Herberta (Jaynes). Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: ""Billboard"" ranks them the most successful rock group of the decade; their song ""How You Remind Me"" was listed as the best-selling rock song of the decade and the fourth best-selling of the decade. Conversation:  Wizard: Nickleback is a Canadian band that formed in 1995!  Apprentice: Yes I remember them. Do you know their band line up?  Wizard: guitarist and lead vocalist Chad Kroeger, guitarist, keyboardist and backing vocalist Ryan Peake, bassist Mike Kroeger, and drummer Daniel Adair.  Apprentice: Sounds very familiar. And whats their most popular song?"
938,Green,"Context: The new band began a hectic schedule of performing in Britain and the World and prepared material for a new album. The result was the all-instrumental Expletive Delighted! (1986). This showcased the virtuosity of Sanders and Allcock, but perhaps inevitably was not popular with all fans. This was  Question: Were any of this songs hits or reached top charts? Answer: None. Question: What happened during 1986-1997? Answer: The new band began a hectic schedule of performing in Britain and the World and prepared material for a new album. The result was the all-instrumental Expletive Delighted! ( Question: Was this album a success? Answer: This showcased the virtuosity of Sanders and Allcock, but perhaps inevitably was not popular with all fans. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: It is evoked by light which has a dominant wavelength of roughly 495570 nm. Conversation:  Apprentice: Out of all of the colors of the rainbow I think Green is my favorite  Wizard: Green is such a great color and it is between blue and yellow.  Apprentice: do you know if it is considered a warm color?"
939,Harry Potter,"Context: He found work as an office secretary at Universal Pictures' New York office, and later became personal secretary to the studio's founder and president, Carl Laem Question: What were some of these productions he oversaw ? Answer: None. Question: When did Irving start with Universal ? Answer: He found work as an office secretary at Universal Pictures' Question: What did the work as office secretary lead to ? Answer: and later became personal secretary to the studio's founder and president, Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The main story arc concerns Harry's struggle against Lord Voldemort, a dark wizard who intends to become immortal, overthrow the wizard governing body known as the Ministry of Magic, and subjugate all wizards and muggles, a reference term that means non-magical people. Conversation:  Apprentice: Harry Potter is one of the enduring books that has ever been written in the modern history. Words can describe how fascinated I am by this novel  Wizard: Harry Potter was created by JK Rowling.  Do you like it.  Apprentice: J.K. was truly imaginative and full of dream-like creativity in developing the characters. I just adore the story-telling of this book"
940,Green,"Context: Since 1997, Master P has been in numerous feature and straight to DVD films, and in television shows. His filmography includes  Question: What was Uncle P about? Answer: None. Question: What was Master P's first on screen role? Answer: Uncle P, Question: Was that on film or television? Answer: filmography Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: In the Middle Ages and Renaissance, green was the color commonly associated with merchants, bankers and the gentry, while red was reserved for the nobility. Conversation:  Wizard: Don't you just love green things!  Green grass, green mint - it's my favorite color that is between blue and yellow on the visible spectrum!  Apprentice: What is green commonly associated with?  Wizard: It's associated with television and computer screens because it is one of the additive primary colors  Apprentice: Why are plants green?"
941,Green,"Context: On March 11, 2016, a week after Carson ended his presidential campaign, he endorsed Trump, calling him part of ""the voice of the people to be heard."" Carson's subsequent comments that Americans would only have to sustain Trump for four years if he was not a good president drew criticism and he ad Question: what was the criticism? Answer: None. Question: what happened in 2016? Answer: On March 11, 2016, a week after Carson ended his presidential campaign, he endorsed Trump, calling him part of ""the voice of the people to be heard. Question: what else did he say about trump? Answer: Carson's subsequent comments that Americans would only have to sustain Trump for four years if he was not a good president drew criticism Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Saint Patrick's Day, although a legal holiday only in Suffolk County, Massachusetts (where it is recognized alongside Evacuation Day) and Savannah, Georgia, is nonetheless widely recognized and celebrated throughout the United States. Conversation:  Wizard: Green is perhaps my favorite color and lies between yellow and lbue on the visible spectrum  Apprentice: What are the other colors on the visible spectrum?  Wizard: Blue, red, and orange are definitely there. Apparently green can be made by a combination of yellow and blue  Apprentice: What else can you tell me about the color green?"
942,Accounting,"Context: In 1995 Converge released their first compilation album, Caring and Killing. The album featured tracks from the band's early work from the years 1991 to 1994. The album was originally released as a European exclusive through Lost & Found Records. However,  Question: did any of their albums make it top on the charts? Answer: None. Question: what happened in 1995? Answer: Converge released their first compilation album, Caring and Killing. Question: which record company did they use to release it? Answer: The album was originally released as a European exclusive through Lost & Found Records. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Accounting can be divided into several fields including financial accounting, management accounting, external auditing, tax accounting and cost accounting. Conversation:  Wizard: I am an accountant. Thanks to the establishment of  the Italian mathematician Luca Pacioli in 1494.  Apprentice: Oh? How was Luca Pacioli instrumental in the establishment of accountancy?  Wizard: As the founder, he is called The Father of Accounting and Bookkeeping  Apprentice: What is it about being an accountant that you enjoy?"
943,Cheerleading,"Context: His third studio album, Cosmogramma, was released in the UK on May 3, 2010, and in th Question: Did he perform the album on a life band? Answer: None. Question: What was cosmogramma? Answer: His third studio album, Question: When was it released? Answer: 2010, Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Cheerleading began during the late 18th century with the rebellion of male students. Conversation:  Wizard: cheerleading is an activity where participants cheer for their team! They even do competitive.  Apprentice: Here in the U.S., it is *super* competitive! Have you ever seen one of the competitions? It's truly athletic!  Wizard: I have not but the activity does range from chanting slogans to intense physical activity!  Apprentice: True -- and it's not just limited to football games anymore. There are dedicated competitions for cheerleading and cheerleaders -- and they are *serious*!"
944,Green,"Context: On February 12, 2010, Titas announced in their official website that drummer Charles Gavin would leave the band for personal reasons. Gavin lat Question: Where did they tour? Answer: None. Question: What was Gavin's departure? Answer: On February 12, 2010, Question: What happened on that date? Answer: Titas announced in their official website that drummer Charles Gavin would leave the band for personal reasons. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: This has earned it the nickname, ""The vine that ate the South"". Conversation:  Wizard: I love the color green.  Its my favorite color - the color of emeralds  Apprentice: It's the best color, green is the most pleasing color to the human eye, especially dark greens  Wizard: Yes.  It is such a natural color because of the green color from chlorophyll in plants  Apprentice: Have you ever seen Kadzu before? it's an invasive weed that grows up on trees and devours them with vibrant green breauty"
945,Bowling,"Context: According to an article from The New York Times, ""over the years, Frazier has lost a fortune through a combination of his own generosity and naivete, his carousing, and failed business opportunities. The other Question: did the court rule in joe's favor? Answer: None. Question: when did joe frazier's financial issues begin? Answer: According to an article from The New York Times, ""over the years, Frazier has lost a fortune through a combination of his own generosity and naivete, Question: who was he overly generous to with his money? Answer: failed business opportunities. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: In target variations, the aim is usually to get the ball as close to a mark as possible. Conversation:  Apprentice: I like to go to the local bowling alley with the family on weekends.  Wizard: Have you ever seen someone bowl a perfect game, 12 strikes in a row?  Apprentice: No never.  Well not in real life anways.  Have you?"
946,Broken heart,"Context: On October 23, 1999, Harrison Ford was involved in the crash of a Bell 206L4 LongRanger helicopter (N36R). The NTSB accident report states that Ford was piloting the aircraft over the  Question: Did he have any passengers? Answer: None. Question: What was one of Ford's incidents? Answer: Harrison Ford was involved in the crash of a Bell 206L4 LongRanger helicopter (N36R). Question: Was he the pilot? Answer: states that Ford was piloting the aircraft Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The neurological process involved in the perception of heartache is not known, but is thought to involve the anterior cingulate cortex of the brain, which during stress may overstimulate the vagus nerve causing pain, nausea or muscle tightness in the chest. Conversation:  Apprentice: Hey. My heart hurts from a broken relationship...  Wizard: Yes I to have suffered from a broken heart. It is painful.  Apprentice: What have you found to be comforting?"
947,Green,"Context: In 1960 he made his first recordings with his 17-year-old daughter Carla, for the Satellite label in Memphis, which changed its name to Stax the following year. The song, ""Cause I Love You"", featuring a rhythm borrowed from Jesse Hill's ""Ooh Poo Pa Doo"", was a regional hit; the music Question: Did he do any film, TV or vaudeville work at this time? Answer: None. Question: When did Rufus Thomas join Stax Records? Answer: In 1960 he made his first recordings with his 17-year-old daughter Carla, for the Satellite label in Memphis, which changed its name to Stax the following year. Question: How were his first recordings received by critics and the public? Answer: The song, ""Cause I Love You"", featuring a rhythm borrowed from Jesse Hill's ""Ooh Poo Pa Doo"", was a regional hit; Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: By far the largest contributor to green in nature is chlorophyll, the chemical by which plants photosynthesize and convert sunlight into chemical energy. Conversation:  Apprentice: Green is my favorite color! Do you also like green?  Wizard: I love it! It's between blue and yellow on the color spectrum!  Apprentice: Oh! I remember mixing blue and yellow paint to make green when I was little! There are so many different shades of green. What's your favorite? "
948,Instagram,"Context: On 29 April 1977, Polydor released The Jam's debut single, ""In the City"", which charted in the Top 40 in England. On 20 May Question: where did they record their songs Answer: None. Question: what were some early recordings? Answer: On 29 April 1977, Polydor released The Jam's debut single, ""In the City"", Question: was it popular? Answer: charted in the Top 40 in England. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: They can add hashtags to their posts, linking the photos up to other content on Instagram featuring the same subject or overall topic. Conversation:  Wizard: I like to share  picture and videos using the Instagram app.   Apprentice: So do I.  There's just so much great content you can post yourself and also discover on the platform.  Wizard: Yeah Kevin Systrom and Mike Krieger are awesome guys for inventing the app.   Apprentice: Yes they are.  It's through that app that I've found a lot of users who share the same interests as me.  I could spend hours on it."
949,The Walking Dead (TV series),"Context: Allen began dating musician Ed Simons of the Chemical Brothers in September 2007, and in December, Allen announced that she and Simons were expecting a child. She suffered a miscarriage in January 2008. Following five months of dating, Allen's relationship with Simons ended soon after her miscarriage. Allen has Question: Did she get treatment for those disorders? Answer: None. Question: Was she in a relationship? Answer: Allen began dating musician Ed Simons Question: Did they marry, or was it a rocky relationship? Answer: Allen's relationship with Simons ended soon after her miscarriage. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: In both forms of media, Glenn is a young pizza delivery boy from Atlanta who is separated from his family after the zombie outbreak and joins a group of survivors led by Rick Grimes. Conversation:  Apprentice: My favorite time of year is Halloween and fall so naturally I love the TV show, The Walking Dead  Wizard: I love it too!  I have also read the comic book series by Robert Kirkman, Tony Moore and Charlie Adlard  Apprentice: Awesome, Ive never read the comics but I've heard they are good. Who is your favorite character (past or present)?"
950,Cheerleading,"Context: The new band began a hectic schedule of performing in Britain and the World and prepared material for a new album. The result was the all-instrumental Expletive Delighted! (1986). Thi Question: was the album a hit? Answer: None. Question: what happened at the convention in1986? Answer: The new band began a hectic schedule of performing in Britain and the World and prepared material for a new album. Question: which new album did they prepare for? Answer: The result was the all-instrumental Expletive Delighted! ( Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Competitive routines typically range anywhere from one to three minutes, and contain components of tumbling, dance, jumps, cheers, and stunting. Conversation:  Wizard: i love cheerleading, Cheerleading is an activity wherein the participants (referred to as ""cheerleaders"") cheer for their team  Apprentice: I have never done it but my school is really good!  Wizard: it can be from from chanting slogans to intense physical activity.  Apprentice: I think they do the set routines, it seems demanding to me"
951,Hot dog,"Context: Whitman claimed that after years of competing for ""the usual rewards"", he determined to become a poet. He first experimented with a variety of popular literary genres which appealed to the cultural tastes of the period. As early as 1850, he began  Question: How was it received by the audience or the critic? Answer: None. Question: Is leaves of grass a poem? Answer: Leaves of Grass, a collection of poetry which he would continue editing and revising until his death. Question: When he first started leaves of grass? Answer: As early as 1850, Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Hot dog variants include the corn dog and pig in a blanket. Conversation:  Apprentice: I love hot dogs!  Do you?  Wizard: Well, I know them as frankfurter and  it is a cooked sausage,    Apprentice: I thought frankfurters were different than hot dogs - like higher quality meat?"
952,Archery,"Context: Ignatieff was born on May 12, 1947 in Toronto, the elder son of Russian-born Canadian Rhodes Scholar and diplomat George Ignatieff, and his Canadian-born wife, Jessie Alison (nee Grant). Ignatieff Question: Did he have any siblings? Answer: None. Question: Where was he born? Answer: Ignatieff was born on May 12, 1947 in Toronto, Question: Who were his parents? Answer: Russian-born Canadian Rhodes Scholar and diplomat George Ignatieff, and his Canadian-born wife, Jessie Alison (nee Grant). Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: In sports, a winning streak is a consecutive sequence of won games, or won competitions. Conversation:  Apprentice: So I picked up archery recently and to my surprise, I really enjoy it. Have you ever tried?  Wizard: Yes, actually! I enjoy archery very much. I actually found out it comes from (arcus) Latin!  Apprentice: What other Latin words do you know?"
953,Accounting,"Context: The beginning of Unger's academic career began with the books Knowledge and Politics and Law in Modern Society, published in 1975 and 1976 respectively. These works led to the co-founding of Critical Legal Studies (CLS) with Duncan Kennedy and Morton Horwitz. The movem Question: Did any violence occur during this controversy? Answer: None. Question: What does Roberto's academic career consist of? Answer: The beginning of Unger's academic career began with the books Knowledge and Politics and Law in Modern Society, Question: Did he write those books? Answer: These works led to the co-founding of Critical Legal Studies (CLS) with Duncan Kennedy and Morton Horwitz. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Accounting, which has been called the ""language of business"", measures the results of an organization's economic activities and conveys this information to a variety of users, including investors, creditors, management, and regulators. Conversation:  Wizard: I'm an accountant, the modern field was actually established in 1494  Apprentice: What does the field cover?  Wizard: well money my good friend, I imagine creating a financial institution like the medici bank.  Apprentice: How does one get into the field of accounting?"
