index,topic,prompt
789,Harry Potter,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: , the books have sold more than 500 million copies worldwide, making them the best-selling book series in history, and have been translated into seventy-three languages. Conversation:  Wizard: Have you read the series of novels by J. K. Rowling? The Harry Potter Books  Apprentice: I haven't, what are they about? Are they good?  Wizard: The novels are about a young wizard, Harry Potter and his friends  Apprentice: I think I've heard of that before, weren't they made into movies?"
790,Harry Potter,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Universal Orlando is the second-largest resort in Greater Orlando after Walt Disney World Resort. Conversation:  Apprentice: Do you like Harry Potter? I have to admit I have not read any books or seen any of the movies.  Wizard: I have seen a couple of the movies when I was younger, im not a huge fan though! Everyone seems to love the series, i know it was produced by J.K Rowling.  Apprentice: I vaguely know the characters and storylines, mostly from friends and family who are fans."
791,Broken heart,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: ""Rough Day"" is a song by Australian recording artist Paulini, taken from her second studio album, ""Superwoman"" (2006). Conversation:  Apprentice: I've had my heart broken a few times, how about you?  Wizard: I had my Heart broken more than a few times, no doubt. Especially on Valentine's Day.  Apprentice: That's a rough day for it. I had my heart broken once by a girl because her sister was jealous of us. Her sister claimed that she and I had a thing and my giriflriend (at the time) believed the lie."
792,Paramedic,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The scope of the role varies widely across the world, having originally developed as a paraprofession in the United States during the 1970s. Conversation:  Apprentice: I admire paramedics so much. They are vital to our medical care.  Wizard: Yes I feel grateful for all of the EMS workers who work on an ambulance. They must see some crazy things.  Apprentice: Yes, me too. I wanted to be a paramedic but felt I would struggle to maintain the level of calm they have to."
793,The Walking Dead (TV series),"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Much of the series takes place in and around Atlanta, Georgia, and later Alexandria, Virginia. Conversation:  Wizard: Do you like the series the Walking Dead?  Apprentice: I love it!  Do you?  Wizard: Yes, I am a big fan of Andrew Lincoln who plays the lead character.  Apprentice: Oh, yes, Rick! He does a great job portraying that role. How did you feel about how they handled Rick's son, Carl, on the last season?"
794,Accounting,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: College admissions in the United States refers to the process of applying for entrance to institutions of higher education for undergraduate study at one of the nation's 2,675 schools. Conversation:  Apprentice: I am aspiring to be an accountant. I want to know more about accounting   Wizard: Accounting has been called the ""language of business.   Apprentice: I see. What course do i need to take to become an accountant? "
795,Gymnastics,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Men's events are floor exercise, pommel horse, still rings, vault, parallel bars and horizontal bar. Conversation:  Wizard: I have often watched the Olympics and love gymnastics.  It's a sports that requires balance, strength, flexibility and control.  Do you like gymnastics?  Apprentice: yes I like gymnastics  Wizard: Gymnastics started off by ancient Greeks that evolved into what we see today.  It included skills for mounting and dismounting a horse.  Apprentice: Can you tell me more about it?"
796,Paramedic,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Allied health professions are health care professions distinct from nursing, medicine, and pharmacy. Conversation:  Apprentice: I love my job as a paramedic.  Wizard: I believe paramedics are essential health professionals  Apprentice: Thank you. So many people tend to look down on me because I am not a doctor."
797,Bowling,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: In pin bowling variations, the target is usually to knock over pins at the end of a lane. Conversation:  Apprentice: I used to be really into bowling.  Wizard: bowling is a fun sport though im bad at rolling the ball  Apprentice: I was really bad at it and then I got lessons and got decent at it."
798,Bowling,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The term ""hambone"" has also been used to describe four consecutive strikes. Conversation:  Apprentice: I really enjoy bowling!  I am not good, but try!  Do you bowl?  Wizard: I haven't in a long time, it is pretty tough. I wonder how much those guys practice to be able to score a 300, which you need 12 strikes in a row to do!  Apprentice: 12 strikes in a row seems impossible!  How do they curve the ball?"
799,Ireland,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The island has lush vegetation, a product of its mild but changeable climate which is free of extremes in temperature. Conversation:  Wizard: Hi, my wife is from Ireland, the island in the North Atlantic!  Apprentice: Oh, nice. I have always wanted to go there! It has an amazing history, doesn't it?  Wizard: It is the second largest island in the British Isles, which means it has always attracted  a lot of attention!  Apprentice: Yes, it's a prominent place with a lot of really cool people in the United States who have Irish heritage as well. "
800,Dylan's Candy Bar,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: It stocks 7,000 candies from around the world. Conversation:  Wizard: Have you ever heard of Dylan's Candy Bar? It's a great candy shop that started in New York, and now is in different cities.   Apprentice: I have heard about it. I bet it has delicious treats. Who started it?  Wizard: It was actually started by Dylan Lauren, the daughter of the American fashion designer Ralph Lauren.   Apprentice: That's interesting. I wonder what gave her the idea to start it?"
801,Harry Potter,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: , the books have sold more than 500 million copies worldwide, making them the best-selling book series in history, and have been translated into seventy-three languages. Conversation:  Wizard: Harry Potter is such an awesome book series that was created by JK Rowling  Apprentice: Yes it is!  She is an amazing author.  Did you read them all?  Wizard: Yes they were awesome.  All of the characters including Ronald Weasley, Hermione Granger, and Harry Potter made it all thrilling.  Which is your favorite character?  Apprentice: I like Ronald!  Which is yours?"
802,American football,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: no_passages_used Conversation:  Apprentice: Hi, I enjoy playing casual games of football with my son. Do you like football, as well?  Wizard: I'm not a huge fan of football but I do keep up with the American team The Saints. Do you have a favourite team?  Apprentice: The Ravens... They represent my home town."
803,Skiing,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The first depiction of a skier with two ski poles dates to 1741. Conversation:  Apprentice: I really do not like skiing but I wish I did.  Do you know anything about the sport?  Wizard: I know that it can be used for transport, or recreational activites, and even a competetive sport  Apprentice: Do you know when the activity was invented?"
804,Genghis Khan,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: He was buried in an unmarked grave somewhere in Mongolia. Conversation:  Apprentice: My roommate loves Genghis Khan  Wizard: The Genghis Khan who founded the Mongol Empire?  Apprentice: Yes! He admires his strength"
805,Hot dog,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: no_passages_used Conversation:  Wizard: I really love hot dogs, in case you didnt know they are a type of delicious sausage sandwich served between a bun and usually topped with mustard or ketchup.   Apprentice: what kind of hotdogs?  Wizard: If your asking how many types there are,They usually include the corn dog or a pig in a blanket.  Apprentice: i meant more like beef or polish but that works! they are all good"
806,American football,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Thomas Edward Patrick Brady Jr. (born August 3, 1977) is an American football quarterback for the New England Patriots of the National Football League (NFL). Conversation:  Wizard: I used to play American football in high school in an offense position  Apprentice: wow thats interesting.  I was a cheerleader and enjoyed watching the games through that  Wizard: I see cheerleading as an important part of competition. It boosts my motivation to play harder. Cheerleaders do indeed engage in intense physical activity  Apprentice: awesome alot of people don't support us or think what we do isn't important so it's nice to hear that.  So tell me more what an offensive lineman does"
807,Kendrick Lamar,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: It debuted at number two on the US ""Billboard"" 200 chart and was later certified platinum by the Recording Industry Association of America (RIAA). Conversation:  Wizard: Hello, do you like rap music? if yes then you must know the American songwriter and rapper Kendrick Lamar  Apprentice: I have heard of Kendrick Lamar, but I am not a big rap fan.  What are some of Kendrick Lamar's songs?  Wizard: His first which was made available in 2010 is called Overly Dedicated  Apprentice: I don't think I've heard that.  Has he won any awards?"
808,Green,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: It also has a long historical tradition as the color of Ireland and of Gaelic culture. Conversation:  Wizard: Green is halfway between blue and yellow.  Apprentice: really?  equal parts blue and yellow - is that what you mean?  Wizard: I mean it is halfway between those on the visible spectrum. The largest creator of green in nature is the chemical chlorophyll.   Apprentice: oh yeah on the 'wheel' thing, right? I didn't know what caused green in nature - that's a cool fact!"
809,Archery,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Historically, archery has been used for hunting and combat. Conversation:  Apprentice: I've been thinking about trying out some archery.  Wizard: Archery is the sport, practice or skill of using a bow to propel arrows  Apprentice: What else may I need to know about it before trying it out?"
810,Harry Potter,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: They have attracted a wide adult audience as well as younger readers, and are often considered cornerstones of modern young adult literature. Conversation:  Wizard: I liek reading, especially Harry Potter. Have you read it?  Apprentice: I have never read that. I do not read much anymore.  Wizard: Ah, well, Harry Potter is a fantasy series created by J.K. Rowling. It's pretty popular  Apprentice: I have seen part of one of the movies."
811,Neurosurgery,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Multiple sclerosis can cause a variety of symptoms: changes in sensation (hypoesthesia), muscle weakness, abnormal muscle spasms, or difficulty moving; difficulties with coordination and balance; problems in speech (dysarthria) or swallowing (dysphagia), visual problems (nystagmus, optic neuritis, phosphenes or diplopia), fatigue and acute or chronic pain syndromes, bladder and bowel difficulties, cognitive impairment, or emotional symptomatology (mainly major depression). Conversation:  Wizard: Last year i performed what is known as a brain surgery (which is often colloquially neurosurgery) on a patient with Multiple Sclerosis  Apprentice: Wow,  that is impressive. How did it come out, did it help the patiennt?  Wizard: MS(Multiple Sclerosis) is a demyelinating disease in which the insulating covers of nerve cells in the brain are damaged, unfortunately we did not fully cure him though made it a lot easier for him    Apprentice: It sounds like a debilitating disease, good to hear there is treatment "
812,Accounting,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The modern field was established by the Italian mathematician Luca Pacioli in 1494. Conversation:  Apprentice: I am an accountant. I like to work with numbers.  Wizard: It is called the language of business because lots of people work with numbers, but especially you.  Apprentice: Yes, I like to balance ledgers and wear my green visor. I don't wear a pocket protector though."
813,Green,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The Green Bay Packers are a professional American football team based in Green Bay, Wisconsin. Conversation:  Apprentice: I just painted my room! all green i love that color? how about you? green or no gree?  Wizard: Yes, I like the colour green, but I prefer blue.   Apprentice: Thats a cool choice! i was in a psychology class and learn that green is a lively color, and it symbolizes renewal and growth. you know what blue symbolizes?"
814,Elvis Presley,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Professional Elvis impersonators, commonly known as Elvis tribute artists (ETAs), work all over the world as entertainers, and such tribute acts remain in great demand due to the unique iconic status of Elvis. Conversation:  Wizard: I wasn't around when Elvis Presley was alive, but I love his music.  Are you an Elvis fan?  Apprentice: I haven't listened to that many of his songs but I do like his dance moves. Personally I prefer Johnny Cash over Elvis.  Wizard: Johnny Cash is one of the best-selling music artist of all time, he sold 90 million records!  Do you think you could be an Elvis impersonator?  Apprentice: Not at all, I can't do accents very well and my hips don't move like that."
815,Gymnastics,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Competitive artistic gymnastics is the best known of the gymnastic events. Conversation:  Wizard: have you ever watched gymnastics? It's a sport that requires balance strength flexibility and agility.  I do not have that skill set haha  Apprentice: Oh gosh, me either! But I love watching gymnastics during the Olympics. Those athletes are incredible!  Wizard: They are so good!! Gymnastics actually evolved from exercises that the Greeks used  Apprentice: Really? The Greeks were flipping over bars 10 times rapidly for fun? I didn't know that!"
816,Winter,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Puerto Rico (Spanish for ""Rich Port""), officially the Commonwealth of Puerto Rico (, ""Free Associated State of Puerto Rico"") and briefly called Porto Rico, is an unincorporated territory of the United States located in the northeast Caribbean Sea. Conversation:  Apprentice: Winter is the best time of year. The cold crisp air. The blanket of snow on the farm land. Don't you agree?   Wizard: I don't agree! I hate winter- it's the coldest season, and where I live, there is usually so much snow. Yuck!  Apprentice: I'm from Colorado so I know about snow. My city gets an average to 10-12 feet a year. If you hate it why not move? "
817,Cheerleading,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Shrek The Musical is a musical with music by Jeanine Tesori and book and lyrics by David Lindsay-Abaire. Conversation:  Apprentice: I used to be a cheerleader in high school, it was really fun.  Wizard: Oh really? Were you varsity level? Cheerleading must be some fantastic encouragement for the repsective team!  Apprentice: Oh no I wasn't, just at school, I quit before it got really serious. Cheerleading is also a sport of its own!"
818,Nickelback,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: They were listed number seven on the ""Billboard"" top artist of the decade, with four albums listed on the ""Billboard"" top albums of the decade. Conversation:  Apprentice: Did you ever get into nickelback? I never minded them, but they seem very hated for some reason  Wizard: Never really got into them but they are a Canadian rock band. They formed around 1995.   Apprentice: Oh, I did not know they were around that long, or even from canada"
819,Insane Clown Posse,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The duo has earned two platinum and five gold albums. Conversation:  Wizard: my favorite band is insane clown posse. They are American hip hop duo  and the singer of Violent J (Joseph Bruce) and Shaggy 2 Dope  Apprentice: That's cool when was the band formed?  Wizard: It is founded in Detroit in 1989. And they  performs a style of hip hop known as horrorcore   Apprentice: Is Shaggy 2 same as the popular Jamaican musican shaggy?"
820,Green,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Broccoli is often boiled or steamed but may be eaten raw. Conversation:  Apprentice: I love the color green. It is my favorite color!  Wizard: Does the color green make you think of certain foods?   Apprentice: It actually does. Vegetable of course, like broccoli and spinach."
821,Genghis Khan,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Genghis Khan died in 1227 after defeating the Western Xia. Conversation:  Apprentice: Genghis Khan was on of the greatest leaders of all time.  Wizard: He was the Great Khan and the founder of the Mongol Empire, the largest empire in history.  Apprentice: I actually know a lot about him. I have a masters in History. Did you know he was born in Delüün Boldog in 1162"
822,Nickelback,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Chad Robert Turton (born November 15, 1974), known professionally as Chad Kroeger (), is a Canadian musician and producer, best known as the lead vocalist and guitarist for the Canadian rock band Nickelback. Conversation:  Wizard: More then life I love a little Canadian rock band that goes by the name Nickel back. I know you love them as well.   Apprentice: Ha! That's some optimism right there ;-) Favorite song?  Wizard: How can you pick one. guitarist and lead vocalist Chad Kroeger is a god among men.   Apprentice: Your dedication is admirable! And it's good to know the band has some defenders against what has become a cultural backlash against the band <ducks for cover>"
823,The Walking Dead (TV series),"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Grimes reunites with his family and becomes the leader of a group he forms with other survivors. Conversation:  Apprentice: Have you ever seen The Walking Dead?  Wizard: The American post-apocalyptic series? The one based on the comic book series by Robert Kirkman? Yes I love it! How about you?  Apprentice: I watch it every week, one of my favorite tv shows."
824,Japanese language,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: This imperial dynasty continues to reign over Japan. Conversation:  Wizard: I've taken Japanese language classes in the past, but I can really only read English loanwords these days. I've forgotten most of the Hiragana and Kanji.  Apprentice: That's really interesting! What made you decide to learn Japanese?  Wizard: Well I would love to say that it was because I took a class on Japanese history and prehistory... but in reality, it's because I was sleeping with the Japanese professor.  Apprentice: Wow, that's inappropriate!"
825,Blog,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: In Internet slang, a troll () is a person who sows discord on the Internet by starting quarrels or upsetting people, by posting inflammatory, extraneous, or off-topic messages in an online community (such as a newsgroup, forum, chat room, or blog) with the intent of provoking readers into an emotional response or of otherwise disrupting normal, on-topic discussion, often for the troll's amusement. Conversation:  Wizard: I'm a blogger,I do discrete, often informal diary-style text entries on the website  Apprentice: That sounds interesting and fun.  What do you blog about and how long have you been doing that for?  Wizard: I do what we call the multi-author blogs"" (MABs) ,popularised in 2010.A combined effort from various blogger authors  Apprentice: I didn't even know those existed!  I thought blogging was more of a solo effort.  Do you like to work with other authors?"
826,Elvis Presley,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Accompanied by guitarist Scotty Moore and bassist Bill Black, Presley was a pioneer of rockabilly, an uptempo, backbeat-driven fusion of country music and rhythm and blues. Conversation:  Wizard: Elvis Aaron Presley was such a talented Singer and actor.  Apprentice: That's putting it lightly, ah thankyaveramuch. I didn't actually know he was an actor though. What was he in?  Wizard: He had a series of successful network television shows including a movie called Speedway!  Apprentice: Kinda not surprising. Justin Timberlake is kind of the same way: acting career on top of a pretty successful music career. Where was Elvis from?"
827,Green,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: no_passages_used Conversation:  Apprentice: My favorite color is green! Do you like the color?  Wizard: Its great, green is made wtih blue and yellow  Apprentice: Right! And Green is an important component of the RGB color model."
828,Instagram,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: It is owned by Facebook. Conversation:  Apprentice: I use instagram a lot. I think it's a good way to see what friends are up to.  Wizard: is that the internet based photo-sharing app that allows users to share pictures and videos either publicly or privately to followers ?  Apprentice: Yes it is. Do you know when it was created?"
829,Game design,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The effort is undertaken by a game developer, which may range from a single person to an international team dispersed across the globe. Conversation:  Wizard: I've always found the topic of game design intriguing, especially with all the genres and mediums of games that now exist. The rules seem to differ a lot as well  Apprentice: thanks lets talk  Wizard: Some of my favorite video games growing up were adventure games because they combine both the narrative-style of storytelling along with puzzle-solving and exploring different arenas. Do you have a type of game you enjoy?  Apprentice: when was the principle of game design invented?"
830,Cheerleading,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: It can be performed to motivate sports teams, entertain the audience, or for competition. Conversation:  Apprentice: I used to love watching cheerleading back in college.  Wizard: Yes it's good to cheer for one's  team as a form of encouragement.  Apprentice: I agree, have you ever been a cheerleader?"
831,John Grisham,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Benjamin McLane Spock (May 2, 1903 – March 15, 1998) was an American pediatrician whose book ""Baby and Child Care"" (1946) is one of the best-sellers of all time. Conversation:  Apprentice: What are some of John Grisham's movies?  Wizard: I'm not quite sure but to my knowledge John Grisham was a writer, he might've been making movies too, that I don't know.  Apprentice: Do you read any of his books?"
832,Harry Potter,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: They have attracted a wide adult audience as well as younger readers, and are often considered cornerstones of modern young adult literature. Conversation:  Apprentice: I like reading. Harry Potter is one of my favorites  Wizard: It is such a great work. i commend the British author J. K. Rowling on this. I love every part of the series.   Apprentice: Me, as well! It's such a long, intricate story. I'm blown away by her accomplishment. "
833,Dog training,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: For a dog to be considered obedient rather than simply trained in obedience, it must respond reliably each time its handler gives a command. Conversation:  Wizard: I always wanted to learn how to train dogs. A dog learns from interactions it has with its environment  Apprentice: I love dogs but I am not good at training them.   Wizard: It's just there are so many established methods of animals training and each with its adherents and critics so it's hard to choose  Apprentice: I see. So there are many different methods. Can you tell me more about dog training?"
834,Cycling,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: no_passages_used Conversation:  Apprentice: I love cycling ,especially as a race!  Wizard: Wow ! I prefer the BMX racing is a type of bicycle racing.  Apprentice: What other type of bike so you use?"
835,Bowling,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The pin version of bowling is often played on a flat wooden or other synthetic surface (which can be oiled in different patterns for different techniques), while in target bowling, the surface may be grass, gravel or a synthetic surface. Conversation:  Wizard: Have you ever been bowling? It is when you roll a heavy ball towards some pins as a target.  Apprentice: I have been bowling, but I am terrible at it, like gutterballs half the time terrible  Wizard: Ever made a strike? Where all the pins are knocked down on the first roll?  Apprentice: I have had a few but far too many to make it enjoyable haha"
836,Dylan's Candy Bar,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Dylan's Candy Bar is a chain of boutique candy shops and candy supplier currently located in New York City; East Hampton, New York; Los Angeles, Chicago and Miami Beach, as well as in wholesale venues around the globe. Conversation:  Wizard: Have you ever heard of Dylans Candy bar ?  Apprentice: no i haven't what is it made of  Wizard: It is made of sugar in the shape of a bar.  Apprentice: i meant it is chocolate or fruity candy"
837,Hot dog,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: no_passages_used Conversation:  Wizard: hot dogs are simply cooked sausage and an american classic  Apprentice: What type of food is that ?  Wizard: its just a steamed hot dog in a bun  Apprentice: Where does it originate from?"
838,Green,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: no_passages_used Conversation:  Wizard: if you mix yellow and blue the result is green  Apprentice: Wow, we call that colour combination  Wizard: i have come to realize that green is the most common color in nature  Apprentice: Yeah, exactly. The grass is green, it also signifies cleanliness"
839,Discovery Channel,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Educational technology is the use of both physical hardware and educational theoretics. Conversation:  Apprentice: I really love watching the Discovery channel  Wizard: Yeah it's a great, flagship channel with awesome shows like mythbusters and unsolved history. I watched it a lot growing up.  Apprentice: Me too! I learned so much about the world through watching that channel."
840,Stock market,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: As of mid 2017, the size of the world stock market (total market capitalisation) was about US$76.3 trillion. Conversation:  Apprentice: I want to teach my family about investing by buying them a few shares of stock, but I really don't know much about it.  Wizard: The stock market can also be called the equity market or share market. That is where you buy and sell stocks. The stock represent ownership claims on businesses.  Apprentice: Oh, so I could tell my kids they own part of a company.  That's cool.  Maybe I should get them a share in a company they know then, like Apple or XBox or Snapchat?"
841,American football,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The first match of American football was played on November 6, 1869, between two college teams, Rutgers and Princeton, under rules based on the association football rules of the time. Conversation:  Wizard: I like American football which is also known as gridiron   Apprentice: So do I.  What is your favorite team?  Wizard: I like the New York giants team  Apprentice: Do you think their quarterback Eli Manning will make it to the Hall of Fame?"
842,Kurt Cobain,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: An electric guitar is a guitar that uses one or more pickups to convert the vibration of its strings into electrical signals. Conversation:  Wizard: Kurt Cobain was one of my favorite musicians, I really loved Nirvana.  Apprentice: My brother must be a big fan. He has a Fender Jag Stang guitar. Apparently Cobain helped design it.  Wizard: That's right, it was intended as a hybrid of the Jaguar and Mustang Fender guitars.  Apprentice: That's interesting. It seems to be more like a blues guitar than a rock guitar. Does that make sense?"
843,Accounting,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Management accounting principles (MAP) were developed to serve the core needs of internal management to improve decision support objectives, internal business processes, resource application, customer value, and capacity utilization needed to achieve corporate goals in an optimal manner. Conversation:  Wizard: I work in the field of Accounting which can be divided into many fields such as financial accounting, managerial accounting, external auditing, tax accounting, and cost accounting.  Apprentice: That is a lot of different fields.  Did you have to go to school for a long time to learn all of that stuff?  Wizard: Yes, I had to do a 4 year Bachelors degree at an university. I work in management accounting.  Apprentice: You sound like you have a lot of experience.  What is your favorite aspect of accounting?"
844,Ireland,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Ireland is the third-largest island in Europe. Conversation:  Apprentice: I have never been to Ireland before.  Wizard: it is very nice, it  is an island in the North Atlantic  Apprentice: Is Ireland part of the UK?"
845,Insane Clown Posse,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The duo has earned two platinum and five gold albums. Conversation:  Apprentice: The Insane Clown Posse is so insane. Who are these guys?  Wizard: Funny you ask! My daughter introduced me to them last week. They are an American hip hop duo. One is named Violent J and the other Shaggy 2 Dope. I was speechless after listening to them!  Apprentice: Haha. I came across the Insane Clown Posse on the internet and they are so fascinatingly weird. What else do you know about them?"
846,American football,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: American football, referred to as football in the United States and Canada, and also known as gridiron football or simply gridiron, is a team sport played by two teams of eleven players on a rectangular field with goalposts at each end. Conversation:  Wizard: I'm a big American Football fan - interestingly, the first American football game was played on November 6, 1869!  Apprentice: That's really interesting. I love to watch football. I am a huge Oklahoma State fan, but like to watch about any game there is on including pro ball.  Wizard: I never realized until recently that the American football rules became popular because of college football!  Apprentice: I didn't know that. I have always wondered where and how the game got started. It can be a dangerous game though."
847,American football,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: A quarterback (commonly abbreviated ""QB"") is a position in American and Canadian football. Conversation:  Apprentice: I used to like American Football a lot  Wizard: Me too, but not so much anymore.  I liked offense better than defense.  Apprentice: I think I just liked it because my uncle did, we were 4 yrs apart and like brother and sister, we watched together"
848,Japanese language,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Word order is normally subject–object–verb with particles marking the grammatical function of words, and sentence structure is topic–comment. Conversation:  Apprentice: Do you know how to speak in Japanese? I always have found it interesting but have never taken any formal schooling or lessons  Wizard: Yes, you should learn. It's easy because it has simple phonotactics, and a pure vowel system.  Apprentice: Oh okay I see. So its much less complicated then learning English or Spanish? I took 3 years of Spanish and can only say as many phrases as I can count with my two hands. Its challenging to learn a new languege"
849,Bodybuilding supplement,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Soy protein is a protein that is isolated from soybean. Conversation:  Apprentice: I have recently starting going to the gym to build some muscle mass. I have bought bodybuilding supplements such as protein powder  Wizard: Athletes normally eat meat in large quantities.  Apprentice: Exactly. I have also added much meat eating as part of my special diet. They are rich in protein. Especially, red meat"
850,Cardigan (sweater),"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The cardigan was named after James Brudenell, 7th Earl of Cardigan, a British Army Major General who led the Charge of the Light Brigade at the Battle of Balaclava during the Crimean War. Conversation:  Apprentice: I love cardigans and all types of sweaters. But right now it's summer and I can't layer that much.  Wizard: Yeah I love sweater too .Esp .during cold season.winter.  Apprentice: One of my favorite cardigans I got from American Eagle. I like cotton because wool is itchy to me."
851,Goldendoodle,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The Encyclopædia Britannica traces the term ""designer dog"" to the late 20th century when breeders began to cross purebred Poodles with other purebred breeds in order to obtain a dog with the poodle's non-shedding coat, along with various desirable characteristics from other breeds. Conversation:  Apprentice: I'm thinking of getting a Goldendoodle - have you heard of them?  Wizard: Not until now. I had heard of a Labradoodle. The phrase changes ""poodle"" to ""doodle"" and was apparently first used in 1992, so quite recent.  Apprentice: Interesting!  How did the name Goldendoodle come to be?"
852,Kurt Cobain,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: After signing with major label DGC Records, Nirvana found breakthrough success with ""Smells Like Teen Spirit"" from their second album ""Nevermind"" (1991). Conversation:  Wizard: apparently kurt cobain's middle name is donald  Apprentice: I did not have a clue what his middle name was. I wonder who he is.  Wizard: well kurt cobain s a songwriter, a musician, and an American singer!  Apprentice: Oh I see, I think I have heard of him. What are his famous songs or albums?"
853,Hunting,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The pursuit, capture and release, or capture for food of fish is called fishing, which is not commonly categorised as a form of hunting. Conversation:  Wizard: Do you know that hunting is the acts of tracking animals  with the intent of killing them?  Apprentice: Yes I know  but I will like to know more about it  Wizard: Oh well, people do so with motive of food, recreation, to remove predators that are dangerous to humans or domestic animals, or for trade and this is bad  Apprentice: How can hunters be identified "
854,Gymnastics,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The movements involved in gymnastics contribute to the development of the arms, legs, shoulders, back, chest and abdominal muscle groups. Conversation:  Wizard: Gymnastics is a great way to teach children balance and dexterity.  Apprentice: Yes I agree and it is so fun to watch.  Wizard: It definitely is fun to watch, and the self-discipline the gymnasts have amazes me!  Apprentice: And the incredible strength makes me jealous! I bet that is a lot of work."
855,Broken heart,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The ""social-attachment system"" uses the ""pain system"" to encourage humans to maintain their close social relationships by causing pain when those relationships are lost. Conversation:  Wizard: I am so broken hearted. My cat recently died.  Apprentice: im sorry to hear that , i have no pets  Wizard: He was a very sweet kitty. I recently discovered that broken heart syndrome can actually lead to real physical damage to the heart! Isn't that crazy?  Apprentice: i did not know that either tell me more"
