episode_idx,topic,round,message,response,knowledge,gold
722,Kurt Cobain,4,I'm not too familiar with the Foo Fighters.  What popular songs did they sing?,The Fabulous Mae West,He is the drummer and co-founder of the rock supergroup Them Crooked Vultures.,"My favorite song is ""Big Me"" on their debut album called ""Foo Fighters""."
723,Motivation,4,Interesting. I wonder how some people are more motivated than others. Perhaps it has to do with their reward system.,Lunalilo was elected as king,"Motivation theories can be classified on a number of bases:  Motivation as a desire to perform an action is usually defined as having two parts, directional such as directed towards a positive stimulus or away from a negative one, as well as the activated ""seeking phase"" and consummatory ""liking phase"".","Yes, some people probably require more prompting to act in a certain way."
724,Green,3,"I didnt realize that either, I mainly like it because it is the color of nature, trees, grass, it is soothing","Stanley Donen was born in Columbia, South Carolina to Mordecai Moses Donen,","Chlorophyll is essential in photosynthesis, allowing plants to absorb energy from light.","Interestingly, chlorophyll is the largest contributor to green in nature!  Red is nice, but green is where it's at!"
725,Green,4,Very interesting. So it plays a part in photosynthesis?,The members branched out to solo activities once again.,It is evoked by light which has a dominant wavelength of roughly 495570 nm.,"It does! Even in nature, green is the color animals will use to camoflauge themselves to protect them from danger."
726,Paramedic,3,what aspect of healthcare do they handle?,The festival raised money for the hospital.,"A paramedic is a healthcare professional, predominantly in the pre-hospital and out-of-hospital environment, and working mainly as part of emergency medical services (EMS), such as on an ambulance.","THeir range of practice usually varies between countries, but usually includes autonomous decision and making around the emergency care of patients"
727,Consulting firm,3,What is your best information about a consulting firm?,Bruce decided to get away from gang life and start a career in professional wrestling. Bruce,"Consultancy aim the executives of companies by providing them with consultants, also known as industry-specific specialists/consultants and subject-matter experts, usually trained in management or business schools.","There's a lot to say about consulting firms. Between 2010 and 2015, the 10 biggest firms made a total of 170 billion dollars in growth revenue. And that's just the top 10!"
728,The Walking Dead (TV series),4,Post apocalyptic horror . I like sci fi movies and this is on cable so it's fairly easy to catch if you want to watch it. ,"Conrad retired from NASA and the Navy in 1973, and went to work for American Television and","Beginning with its third season, ""The Walking Dead"" has attracted the most 18- to 49-year-old viewers of any cable or broadcast television series.",I should be completely interested in it - I mean it's filmed right here in Atlanta - I even have friends that have run into the actors just around town.
729,Instagram,4,"That sounds neat! What is street style - street style as in clothes, right?",Nando found another band.,"The goth subculture adopts dark fashion elements such as black clothing, dyed black hair, dark eyeliner, black fingernails, and black period-styled clothing and a focus on gothic rock and a range of other music genres.",Street style is British fashion culture that is new. What style do you like?
730,Motivation,4,"Yes perhaps. But depending on what it is, you could also develop a dependence on them. ",No,"This type of motivation has neurobiological roots in the basal ganglia, and mesolimbic dopaminergic pathways.","Yup that kind of ""wanting behavior"" can also be cause by dopaminergic drugs. "
731,Harry Potter,3,Wow that's a lot! So what is the Harry Potter series about?,The books themselves sold 500 million copies worldwide. That made them the best selling book series in history,no_passages_used,"It's about a wizard and his friends. They struggle against an evil wizard named Voldemort who wants to overthrow the wizard government. Harry, the main character almost died to this evil wizard himself as a baby! "
732,Dylan's Candy Bar,3,I haven't heard about it. All I know is this candy bar is delicious! ,The movie was from 2007.,"Lauren was inspired to create the store, which is asserted to be the ""largest unique candy store in the world"", by the Roald Dahl story of ""Willy Wonka & the Chocolate Factory"".","Yes, she owns the chain! Dylan's candy bar is stocked over 7,000 around the world."
733,The Walking Dead (TV series),3,"I agree, it keeps getting better as it goes on","George Meyer grew up in Tucson, Arizona. He is the eldest of eight children","Much of the series takes place in and around Atlanta, Georgia, and later Alexandria, Virginia.",it's cool that it was based on the comic book series
734,Nickelback,3,Really?  isn't that a good thing. Artist who release music very often are usually not serious artist thats what I think though,ES Setif,"Nickelback is a Canadian rock band formed in 1995 in Hanna, Alberta, Canada.",They released The best of Nickelback and then vanished.
735,Dylan's Candy Bar,4,Candy shop turned boutique where cloths are sold?,"Dylan's Candy Bar is owned by Dylan Lauren, daughter of fashion designer Ralph Lauren.","It is owned by Dylan Lauren, daughter of fashion designer Ralph Lauren.","No it doesn't make clothes, boutique as in artisinal! It was inspired by Willy Wonka"
736,Organizing (structure),4,"Yes, luckily with cell phones now it makes it easier to put things in your calendar to keep track of any important events. ",Wizard,"Commonly, anything is considered organized when it looks like everything has a correct order or placement, and is in a specific location.","yes a place to put different objects and ideas, a cell phone is an excellent tool. It is a place to logically organize facts and ideas and also reminders"
737,Nickelback,3,oh really? I didnt know that,"Riley played basketball for Linton High School in Schenectady, New York.","Nickelback is one of the most commercially successful Canadian groups, having sold more than 50 million albums worldwide and ranking as the eleventh best-selling music act, and the second best-selling foreign act in the U.S. of the 2000s, behind The Beatles.","Yep, when Adair replaced drummer Ryan Vikedal. It caused quite a stir amongst the fans."
738,Hunting,3,it is very tasty!,No,"Hunting wildlife or feral animals is most commonly done by humans for food, recreation, to remove predators that are dangerous to humans or domestic animals, or for trade.",Humans mostly hunt for food but some hunt for recreation or sport and some to remove predators
739,Insane Clown Posse,3,That is interesting!  Where did he grow up?,"The band released Ball, the first studio album with McConnell as the guitarist.","A juggalo (feminine juggalette, or juggala in Spanish) is a fan of the group Insane Clown Posse or any other Psychopathic Records hip hop group.","Berkley, Michigan. Have you herd of  Juggalo Championship Wrestling?"
740,Green,4,"yes, its very beautiful, i have heard of it, and looked at the pictures, i would like to visit it someday","T-Pain's third studio album, Thr33 Ringz, was released","Steve Robson (born November 1969, Jarrow, Tyne and Wear) is an English songwriter, record producer and multi-instrumentalist.",It was actually in Star wars the first movie 
741,Elvis Presley,4,amazing. she sounds like she was fun... Do you like elvis??,The new band began a hectic schedule of performing in Britain and the World and prepared material for,no_passages_used,"I'm not much of an Elvis fan, and I was mistaken.  He was born in 1935, but his career began in 1954.  Oops!  Are you an Elvis fan?"
742,Drama school,3,What school do you suggest?,"Hoppus and Barker decided to continue on without DeLonge, and enl","Auditions usually involve the performance of monologues and group workshops, and may also include a singing activity.",There are many you should research on the internet.  Entry is usually through a competitive audition process though
743,Elvis Presley,3,"He was born in Tupel, Miss, where I am from, but he moved to Memphis, Tenn. when he was thirteen.","Charlie Parker died on March 12, 1955, in the suite of his friend and patroness","His music career began there in 1954, recording at Sun Records with producer Sam Phillips, who wanted to bring the sound of African American music to a wider audience.","Cool. He was referred to as the ""king of Rock"", or just ""The King"" when he was alive."
744,The Walking Dead (TV series),3,It's one of the most popular shows in the Country.  It's based off of a comic book series.,"Turner was born in Springfield, Massachusetts on November 5, 1977. At an early age, his family","""The Walking Dead"" premiered in the United States on October 31, 2010, exclusively shown on cable television channel AMC and internationally on Fox International Channels.",I know there is alI guess kind of a survival horror type show/comic/game
745,Cardigan (sweater),4,what makes a sweater a cardigan?,It may be machine- or hand-knitted.,It may be machine- or hand-knitted.,"It's not a pull over, it has long sleaves so it can be worn"
746,Neurosurgery,3,"Yes it is, and there are a dearth of new advancements seemingly every day.",Georgette Heyer,"In most countries, neurosurgeon training requires a minimum period of seven years after graduating from medical school.","Yes, it is one of the highest paid fields as well, and people usually referred to as ""brain surgery"
747,Green,3,"I would think blue would be the most known color in the world, than green.","The most relaxing color to me is green, what about you?",Green is the color between blue and yellow on the visible spectrum.,"Many other creatures would beg to differ, a lot of them have adapted to their green environments by taking on their own green color to their skin."
748,Guns N' Roses,4,What's the name of the album? I don't remember which one was the 6th one,"Daniel Barenboim was born in 1942 in Buenos Aires, Argentina,","It topped the ""Billboard"" 200 and became the best-selling debut album as well as the 11th best-selling album in the United States.","I will find out what the name of the album is. DO you know about their debut too? It is called ""Appetite for Destruction"" and released in 1987"
749,Paramedic,4,I bet that can be very stressful. Is it difficult to deal with people who are sick? I bet it takes an emotional toll.,"During 1981-82, Boone toured the United States in a production of the",In some countries 'Paramedic' is a protected title and accountable to a professional regulatory body.,Yes it is and In some countries 'Paramedic' is a protected title 
750,Nickelback,3,Really? I thought they were American.,"Frege's 1892 paper, ""On Sense and Reference"" (""Uber Sinn","Nickelback is a Canadian rock band formed in 1995 in Hanna, Alberta, Canada.",nope they formed as a band in 1995
751,Accounting,3,Neat! I just got recently hired. I wonder how long accounting has been around before? Do you use a lot of math?,No.,"Accounting, which has been called the ""language of business"", measures the results of an organization's economic activities and conveys this information to a variety of users, including investors, creditors, management, and regulators.","A long time! The modern form was established by Luca Pacioli, an Italian mathematician in 1494"
752,Elvis Presley,3,"I agree, what is your favorite Elvis song?",Aguilera's seventh studio album Lotus was released in November 2012.,"His music career began there in 1954, recording at Sun Records with producer Sam Phillips, who wanted to bring the sound of African American music to a wider audience.","""heartbreak hotel""! it was released in january 1956. what about you?"
753,Skiing,4,I watched some of the games.  Really?  That long ago?  I had no idea.,"The first Winter Olympics, the 1924 Winter Olympics, was held in Chamonix, France","The first Winter Olympics, the 1924 Winter Olympics, was held in Chamonix, France.",Actually the concept stretches back to the 8th century BC.
754,Green,4,Yes and green can have many variations. Do you like all the variations of green?,No,"Several minerals have a green color, including the emerald, which is colored green by its chromium content.","Most yes, The biggest contributor to green in nature is chlorophyll. in plants."
755,Kendrick Lamar,3,Yeah I've noticed that he is ridiculously popular at this point.,McCulloch v. Maryland,"Kendrick Lamar Duckworth (born June 17, 1987) is an American rapper and songwriter.",yea and Kendrick Lamar is quite young for a popular rapper
756,Harry Potter,4,"Yes, my daughter really likes him as well.  I hear there is another movie coming out soon.","Alecia Beth Moore was born on September 8, 1979, in Doylestown, Pennsylvania, to","The books have won multiple awards, and sold more than 400 million copies.","Yes, I believe that it is the first in what is going to be a new series of films."
757,Elvis Presley,4,"I bet you are right because from what I know, he was the best at that time",He became only the third player (after Sanath Jayasuriya and ,"Presley was born in Tupelo, Mississippi, and relocated to Memphis, Tennessee, with his family when he was 13 years old.","Yes, he was pretty good. Sometimes they call him ""The King of Rock"""
758,Broken heart,4,"Yes, very. Do you know who made that phrase?",The two wanted to form a project that combined their favorite parts of bands like Entombe,"The emotional ""pain"" of a broken heart is believed to be part of the survival instinct.","I actually don't know. I don't think anyone knows. But a broken heart can actually cause physical damage to the heart called ""broken heart syndrome"""
759,Guns N' Roses,4,Sweet Child O mine is another good one.,"Koko B. Ware spent his early days in the sport in the Mid-South,","Slash has since released three solo albums: ""Slash"" (2010), featuring an array of famous guest musicians, and ""Apocalyptic Love"" (2012) and ""World on Fire"" (2014), recorded with his band, Myles Kennedy and the Conspirators.",Can you believe that song makes Slash sick? or at least that's what he said in 1990
760,Hunting,4,That is true. Is it true that humans are great hunters because of their stamina and intelligence?,No,"However, excessive hunting has also heavily contributed to the endangerment, extirpation and extinction of many animals.","Yes we are. But it is essential to know the difference between  Lawful hunting and poaching. which is the illegal killing, trapping or capture of the hunted species."
761,Bowling,4,"I don't care how many pins there are really, they are fun to knock down! Haha. I don't really like wearing the bowling shoes though.",No,no_passages_used,"I agree, wearing borrowed shoes is not very enjoyable for me either."
762,Goldendoodle,4,Awesome!  When did this cross breeding start?,"From 1929 to 1931, he attended the University of Missouri, in Columbia, where ",The original purpose of the cross was to develop guide dogs suitable for visually impaired individuals with allergies.,The first Goldendoodle was bred in 1969 by Monica Dickens
763,John Grisham,3,Wow! Really versatile and prolific I must say,No,"Grisham's first bestseller, ""The Firm"", sold more than seven million copies.",Most definetly!  He is best known for his popular legal thrillers
764,Irish coffee,3,"Also, coffee! : ) ",The Reasons Why,"Different variations of coffee cocktails pre-date the now-classic Irish coffee by at least 100 years, before Joe Sheridan, a head chef at the restaurant and coffee shop in the Foynes Airbase Flying boat terminal building, County Limerick played his part in 1942 or 1943 after a group of American passengers disembarked from a several-hour failed Atlantic crossing due to bad weather conditions on a Pan Am Clipper flying boat.","Yea, coffee too. You are not supposed to use whipped cream but modern recipes do so."
765,Instagram,4,"Yeah, anything you put online or on social media is essentially permanent. Even if you delete it after posting it, there is no telling if someone saved it without telling you!",The project became the award-winning TV series Homicide: Life on the Street (1993,no_passages_used,Yes. I was told facebook even has profile of people that never signed up!
766,Dylan's Candy Bar,3,and what is it made of though?,Dylan's Candy Bar is a chain of boutique candy shops and candy supplier currently located in,"Dylan's Candy Bar is a chain of boutique candy shops and candy supplier currently located in New York City; East Hampton, New York; Los Angeles, Chicago and Miami Beach, as well as in wholesale venues around the globe.","Its not a candy bar that is the name of a chain of candy stores owned by Dylan Lauren, Ralph Laurens daughter"
767,Skiing,3,Yep. I started skiing when I was very young and I've skied every year since. ,He had already begun to refer to him as McCoy.,The first depiction of a skier with two ski poles dates to 1741.,Do you use long skis and poles? I do. Skiers a long time ago would use one pole haha
768,Accounting,4,"Huh, good to know. Do you know anything else about Tax Accounting?","Terrell made her debut for TNA, being introduced by the Vice President of the Knock","They are the rules to be followed by accountants to maintain books of accounts which are comparable, understandable, reliable and relevant as per the users internal or external.","Unlike most countries, in the United States has a comprehensive set of accounting principles"
769,Instagram,4,Pretty cool. I love all the nice photo filters they have. It adds a nice touch to photos. ,"No, they did not go on tour.","They can add hashtags to their posts, linking the photos up to other content on Instagram featuring the same subject or overall topic.","Yes, and then can even add locations through geotags!"
770,Guns N' Roses,3,Yeah I guess it'd be easier to type it that way. I wonder what their first song was?,"Guns N' Roses' debut album, ""Appetite for Destruction""","Guns N' Roses' debut album, ""Appetite for Destruction"" (1987), reached number one on the ""Billboard"" 200 a year after its release, on the strength of ""Sweet Child o' Mine"", the band's only single to reach number one on the ""Billboard"" Hot 100.","Oh it was Appetite for Destruction, killer tune! 1987"
771,Medical billing,3,"But doesn't health insurance only cover so much, or is there insurance out there that covers it all",No,"For several decades, medical billing was done almost entirely on paper.",Well it's normally a small fraction versus the whole bill.
772,Skiing,3,It is a recreational activity or a competitive winter sport in which the participant uses skis to glide on snow,Cronkite's tenure as anchor of the CBS Evening News made him an icon,no_passages_used,Yeah and skiing has been around for almost five millenia. That is a long time!
773,Kurt Cobain,4,yea really shook up the scene,"Tara VanDerveer was born on June 26, 1953, to Dunbar and Rit","Nirvana's debut album ""Bleach"" was released on the independent record label Sub Pop in 1989.","i didn't even know he struggled with a heroin addiction, that definitely doesn't help"
774,Cheerleading,3,"Yes, and a lot of people do not know how dangerous it can be.  Not just the normal wear and tear, but injuries can be pretty bad","After the 1997 broadcast of ESPN's International cheerleading competition, and the worldwide release of the","The global presentation of cheerleading was led by the 1997 broadcast of ESPN's International cheerleading competition, and the worldwide release of the 2000 film ""Bring It On"".",Chearleading is very strenuous. Especially now that it also considered a competitive sport in itself. Routines range from one to three minutes. The routines contain lots of tumbling and jumps.
775,Green,3,Yea mixing those two gives green so it makes sense,"The album featured the well-known BOC songs ""Cities on Flame with Rock and Roll",It is evoked by light which has a dominant wavelength of roughly 495570 nm.,It is a mixture of yellow and blue in subtractive color systems though.
776,Elvis Presley,3,"He was amazing, didnt he have the title the king of rock or something?","Patrice Lumumba was born on 2 July 1925 to a farmer, Francois","Presley's first RCA single, ""Heartbreak Hotel"", was released in January 1956 and became a number one hit in the United States.","He was called the ""King of Rock and Roll"" or some just call him ""The King"" and he was one of the biggest icons of the 20th century."
777,Genghis Khan,3,Oh where did he orginate? Somewhere in china?,"After the 1986 People Power Revolution, Duterte was appointed officer-in-charge vice",He came to power by uniting many of the nomadic tribes of Northeast Asia.,He was actually the founder of the Mongol empire!
778,Bowling,4,I never heard of this term. What else do you know about bowling?,The Tambapanni are a Sinhalese kingdom.,no_passages_used,Hambone is when you get four consecutive strikes. I've never gotten that.
779,Green,3,Oh? What's the visible spectrum? Is that the same thing as the color spectrum?,"The author adopted the name Voltaire in 1718, following his incarceration at the",no_passages_used,"I believe it's similar to the color spectrum, the visible spectrum is the portion of the electromagnetic spectrum which is visible to the human eye."
780,Harry Potter,4,"Why were you sad? I'm not sure I have read that one though, but I bet it should be alright","Harry Solter was looking for ""a young, beautiful equestrian girl"" to star","Voldemort appears either in person or in flashbacks in each book and its film adaptation in the series, except the third, ""Harry Potter and the Prisoner of Azkaban"", where he is only mentioned.",Because it was the final chapter in the Harry Potter series. It dealt with the events involving the final confrontation between the wizards and Voldemort.
781,Skiing,4,"yes, The word ‘Ski’ is derived from the Norwegian word ‘skíð’ which means a split piece of wood.",No.,"Water skiing is a surface water sport in which an individual is pulled behind a boat or a cable ski installation over a body of water, skimming the surface on two skis or one ski.",Yeah. They used to have one ski for gliding and one for kicking. Sounds like a better version of todays snowboard. We're regressing.
782,American football,4,"Yep. The so-called ""War on I-4.""",No,"The UCF Knights are the athletic teams that represent the University of Central Florida in Orlando, Florida.","Their head coach Josh Heupel used to me an offensive coordinator at my school, The University of Missouri."
783,Elvis Presley,3,"True, but that is really just because he was first",Slug Line (1979) and Two B,"His music career began there in 1954, recording at Sun Records with producer Sam Phillips, who wanted to bring the sound of African American music to a wider audience.",I think Elvis spent most of his time in the south. Mainly in Mississippi and Tennessee
784,Guns N' Roses,4,"That's a tremendous amount! I'm more of a fan of AC/DC myself, although they have only sold 63 million as opposed to 100 million. I am more of a fan of their earlier stuff, where the main vocalist at the time was Bon Scott. It's very different from the rest of their stuff since then.","They separated in 2000, and finalized a divorce in 2002.","American entertainer Michael Jackson (1958–2009) debuted on the professional music scene at the age of 5, as a member of The Jackson 5, and began a solo career in 1971 while being a member of the group, known as the ""King of Pop"" , five of his solo studio albums have become some of the world's best-selling records: ""Off the Wall"" (1979), ""Thriller"" (1982), ""Bad"" (1987), ""Dangerous"" (1991) and """" (1995).","Another great singer was.Michael Joseph Jackson.,he was dubbed the king of pop music.He shook the music industry "
785,Neurosurgery,3,Being a neurosurgeon also seems like a very stressful job that not everyone could do!,No.,"In most countries, neurosurgeon training requires a minimum period of seven years after graduating from medical school.","Oh, for sure! One has to know how to prevent, treat, diagnosis and help rehabilitate disorders of the nervous system. Which includes brain, peripheral nerves and spinal cord."
786,Instagram,3,Instagram makes it easy to keep up with what family and friends are doing ,Tagore moved to Santiniketan to found an ashram with ,It is owned by Facebook.,"yes, i agree with you! I can't believe it was created in 2010 and excusevily for IOS operating system"
787,Stock market,4,Do you find that you get a pretty good return?,No,no_passages_used,"It depends on various factors, but I find that the holding period is most important. You have to be able to stick it out through economic swings."
788,American football,4,Wow!  I didn't realize the game was that old!  When did the NFL start?,"The first game was played on November 6, 1869 between 2 college teams.",no_passages_used,I am actually not sure of that. I do know it evolved in the United States.
789,Harry Potter,4,"I think I've heard of that before, weren't they made into movies?",The Harry Potter Books,", the books have sold more than 500 million copies worldwide, making them the best-selling book series in history, and have been translated into seventy-three languages.",Yes. The first novel was released in 1997 and the books are insanely popular
790,Harry Potter,3,"I vaguely know the characters and storylines, mostly from friends and family who are fans.","No, they did not go touring.",Universal Orlando is the second-largest resort in Greater Orlando after Walt Disney World Resort.,"My husband is a big fan, it mainly follows Harry who is a wizard, along with his friends. They all attend the hogwarts school"
791,Broken heart,3,That's a rough day for it. I had my heart broken once by a girl because her sister was jealous of us. Her sister claimed that she and I had a thing and my giriflriend (at the time) believed the lie.,"The album was anticipated by singles ""The Last Garrison"" and ""Anaest","""Rough Day"" is a song by Australian recording artist Paulini, taken from her second studio album, ""Superwoman"" (2006).","That's like rough day, the song"
792,Paramedic,3,"Yes, me too. I wanted to be a paramedic but felt I would struggle to maintain the level of calm they have to.","Yes, me too. I wanted to be a paramedic but felt I would struggle","The scope of the role varies widely across the world, having originally developed as a paraprofession in the United States during the 1970s.",Yes and the quick decision making with the emergency care of patients.
793,The Walking Dead (TV series),4,"Oh, yes, Rick! He does a great job portraying that role. How did you feel about how they handled Rick's son, Carl, on the last season?",Zhang Heng's mechanical inventions influenced later Chinese inventors such as Yi X,"Much of the series takes place in and around Atlanta, Georgia, and later Alexandria, Virginia.",I have not consistently watched each season - what happened?
794,Accounting,3,I see. What course do i need to take to become an accountant? ,The 1983 album Havana Moon revisited Santana's early musical experiences in,"College admissions in the United States refers to the process of applying for entrance to institutions of higher education for undergraduate study at one of the nation's 2,675 schools.",You need to get the title of CPA. Its for qualified accountants in numerous countries. 
795,Gymnastics,4,Can you tell me more about it?,"Drake self-released his debut mixtape, Room for Improvement, in 2006.","Men's events are floor exercise, pommel horse, still rings, vault, parallel bars and horizontal bar.","Sure thing - competitive gymnastics is best known for its event during the Olympics.  You typically see women's event of vault, uneven bars, balance beam and floor exercise."
796,Paramedic,3,Thank you. So many people tend to look down on me because I am not a doctor.,Black Sabbath: The Dio Years,"Allied health professions are health care professions distinct from nursing, medicine, and pharmacy.","well you are in the allied health care team, without you guys the chain of health delivery would not even happen"
797,Bowling,3,I was really bad at it and then I got lessons and got decent at it.,No,"In pin bowling variations, the target is usually to knock over pins at the end of a lane.",its a major sport for throwing stuff
798,Bowling,3,12 strikes in a row seems impossible!  How do they curve the ball?,"Bob Crewe met and partnered professionally with Frank Slay Jr., a young pianist","The term ""hambone"" has also been used to describe four consecutive strikes.","I guess they just torque their wrist in a certain way, seems hard though. I think if you get three strikes in a row it's called a turkey, how weird is that."
799,Ireland,4,"Yes, it's a prominent place with a lot of really cool people in the United States who have Irish heritage as well. ","Matthew Staton Bomer was born on October 11, 1977 in Webster Groves, Missouri,","The island has lush vegetation, a product of its mild but changeable climate which is free of extremes in temperature.","I agree, unfortunately the population of Ireland was about 6.6 million and it has since grown."
800,Dylan's Candy Bar,4,That's interesting. I wonder what gave her the idea to start it?,"Dylan Lauren, the daughter of the American fashion designer Ralph Lauren, started Dylan's Candy Bar","It stocks 7,000 candies from around the world.","Supposedly she was inspired by Willy Wonka and the Chocolate Factory, by Roald Dahl. "
801,Harry Potter,4,I like Ronald!  Which is yours?,Harry Potter,", the books have sold more than 500 million copies worldwide, making them the best-selling book series in history, and have been translated into seventy-three languages.",Hermione granger.  I just think it's cool that she does other movies.  I think it's cool that the first novel was released in 1997 and has a lot of popularity
802,American football,3,The Ravens... They represent my home town.,Glavine signed with the Atlanta Braves in 1987.,no_passages_used,Thats cool. My father is from Baltimore so I watched the Ravens growing up quite a bit. My mother was a Steelers fan so there was quite a rivalry 
803,Skiing,3,Do you know when the activity was invented?,The first depiction of a skier with two ski poles dates to 1741,The first depiction of a skier with two ski poles dates to 1741.,"It evolved in scandinavia, but it was apparently practiced 100 centuries ago in china"
804,Genghis Khan,3,Yes! He admires his strength,No.,He was buried in an unmarked grave somewhere in Mongolia.,He united many of the nomadic tribe of Northeast Asia.
805,Hot dog,4,i meant more like beef or polish but that works! they are all good,Ignatieff was an assistant professor of history at the University of British Columbia from 1976.,no_passages_used,"Oh ok, Yeah I know that some types of hot dog sausages are imported from Germany and popularized in the US, Hot Dogs became a working-class street food sold at hot dog stands and carts usually in cities like New York.."
806,American football,4,awesome alot of people don't support us or think what we do isn't important so it's nice to hear that.  So tell me more what an offensive lineman does,Pat Riley was head coach of the New York Knicks starting with the 1991-92 season,"Thomas Edward Patrick Brady Jr. (born August 3, 1977) is an American football quarterback for the New England Patriots of the National Football League (NFL).",Mainly running as fast as he can. I take my inspiration from Jake Long who was a former offensive tackle in American football history
807,Kendrick Lamar,4,I don't think I've heard that.  Has he won any awards?,Osama bin Laden,"It debuted at number two on the US ""Billboard"" 200 chart and was later certified platinum by the Recording Industry Association of America (RIAA).","He worked with prominent artist like The Game, Busta Rhymes, and Snoop Dogg"
808,Green,4,"oh yeah on the 'wheel' thing, right? I didn't know what caused green in nature - that's a cool fact!",Phillips went on the American Idol LIVE Tour from July to September with the,It also has a long historical tradition as the color of Ireland and of Gaelic culture.,"It is! And during the middle ages, green was associated with merchants and the gentry."
809,Archery,3,What else may I need to know about it before trying it out?,"The Roosters, now including Sam Gooden, became the Impressions.","Historically, archery has been used for hunting and combat.","The word comes from the Latin ""arcus"""
810,Harry Potter,4,I have seen part of one of the movies.,"No, she didn't.","They have attracted a wide adult audience as well as younger readers, and are often considered cornerstones of modern young adult literature.","Oh, it's great! It really brings the books to life. It generally revolves around the struggle between Harry Potter and Lord Voldemort (plus his lackeys)"
811,Neurosurgery,4,"It sounds like a debilitating disease, good to hear there is treatment ",No,"Multiple sclerosis can cause a variety of symptoms: changes in sensation (hypoesthesia), muscle weakness, abnormal muscle spasms, or difficulty moving; difficulties with coordination and balance; problems in speech (dysarthria) or swallowing (dysphagia), visual problems (nystagmus, optic neuritis, phosphenes or diplopia), fatigue and acute or chronic pain syndromes, bladder and bowel difficulties, cognitive impairment, or emotional symptomatology (mainly major depression).","The main clinical measure in progression of the disability and severity of the symptoms is the Expanded Disability Status Scale or EDSS, if you ever see these symptoms please do consult your local doctor, of course we have some kind of treatment but i hope that in the future technology advances very far where we can completely cure people of this disease  "
812,Accounting,3,"Yes, I like to balance ledgers and wear my green visor. I don't wear a pocket protector though.",The modern field was established by the Italian mathematician Luca Pacioli,The modern field was established by the Italian mathematician Luca Pacioli in 1494.,That's the way they make accountants appear on television right.
813,Green,3,"Thats a cool choice! i was in a psychology class and learn that green is a lively color, and it symbolizes renewal and growth. you know what blue symbolizes?",No,"The Green Bay Packers are a professional American football team based in Green Bay, Wisconsin.",I don't but I think that the colour blue might symbolize cold and calm?
814,Elvis Presley,4,"Not at all, I can't do accents very well and my hips don't move like that.","Day26 was founded on the Making the Band 4 Season 1 finale on August 26, 2007.","Professional Elvis impersonators, commonly known as Elvis tribute artists (ETAs), work all over the world as entertainers, and such tribute acts remain in great demand due to the unique iconic status of Elvis.",Practice makes perfects!  They make a living doing it and there are even radio stations that exclusively feature Elvis impersonator material.  
815,Gymnastics,4,Really? The Greeks were flipping over bars 10 times rapidly for fun? I didn't know that!,Willie Mays played for the New York Giants.,Competitive artistic gymnastics is the best known of the gymnastic events.,haha not bars no! But it actually came from them doing drills on mounting horses and circus performance!
816,Winter,3,I'm from Colorado so I know about snow. My city gets an average to 10-12 feet a year. If you hate it why not move? ,Wizard: I'm not sure. I'm not sure I can live with it.,"Puerto Rico (Spanish for ""Rich Port""), officially the Commonwealth of Puerto Rico (, ""Free Associated State of Puerto Rico"") and briefly called Porto Rico, is an unincorporated territory of the United States located in the northeast Caribbean Sea.","You would see a lot of snow! Moving is not so easy, I'm Canadian, and when it is winter, it is winter in the whole country. "
817,Cheerleading,3,"Oh no I wasn't, just at school, I quit before it got really serious. Cheerleading is also a sport of its own!",No.,Shrek The Musical is a musical with music by Jeanine Tesori and book and lyrics by David Lindsay-Abaire.,"Shrek prides himself for his green, foulness, would you say you are as confident as Shrek with your cheerleading?"
818,Nickelback,3,"Oh, I did not know they were around that long, or even from canada",No,"They were listed number seven on the ""Billboard"" top artist of the decade, with four albums listed on the ""Billboard"" top albums of the decade.",Nickleback is on of the most successful bands from Canada. They have sold over 50 million albums surprisingly enough. 
819,Insane Clown Posse,4,Is Shaggy 2 same as the popular Jamaican musican shaggy?,The duo has earned two platinum and five gold albums.,The duo has earned two platinum and five gold albums.,No.  Shaggy 2 Dope real name is Joseph William Utsler and he is an American rapper
820,Green,3,"It actually does. Vegetable of course, like broccoli and spinach.",Jayan was killed in an accident on the set of the movie Kolilakkam (,Broccoli is often boiled or steamed but may be eaten raw.,Do you like eating broccoli and spinach raw or steamed? 
821,Genghis Khan,3,I actually know a lot about him. I have a masters in History. Did you know he was born in Delüün Boldog in 1162,No,Genghis Khan died in 1227 after defeating the Western Xia.,Yes I did know that and he came to power by uniting the nomadic tribes of Northeast Asia.
822,Nickelback,4,Your dedication is admirable! And it's good to know the band has some defenders against what has become a cultural backlash against the band <ducks for cover>,No,"Chad Robert Turton (born November 15, 1974), known professionally as Chad Kroeger (), is a Canadian musician and producer, best known as the lead vocalist and guitarist for the Canadian rock band Nickelback.","Haters gonna hate. 75 years from now the sweet sounds of Chad Kroeger, Ryan Peake, Mike Kroeger and Daniel Adair will still be blowing peoples mind. Don't lie your going to listen to them tonight. "
823,The Walking Dead (TV series),3,"I watch it every week, one of my favorite tv shows.",Short's naked body was found severed in two pieces on a vacant lot in Le,Grimes reunites with his family and becomes the leader of a group he forms with other survivors.,My favorite character is Rick Grimes played by Andrew Lincoln. How's yours?
